stn;time;gre000m0;prestam0;sre000m0;hto000m0;nto000m0;ure200m0;rre150m0;tre200m0;tre200mn;tre200mx
SIA;201005;-;-;-;0;70;75.3;166.8;5.0;-4.0;17.8
SIA;201006;-;-;-;0;59;70.6;65.1;10.2;0.5;21.5
SIA;201007;-;-;-;0;44;71.5;66.8;13.3;4.0;24.5
SIA;201008;-;-;-;0;53;78.0;171.6;10.7;0.5;21.5
SIA;201009;-;-;-;0;51;74.7;126.9;7.5;-1.5;17.6
SIA;201010;-;-;-;2;53;77.4;81.6;2.9;-7.5;14.4
SIA;201011;-;-;-;25;70;81.4;115.2;-1.9;-18.5;14.2
SIA;201012;-;-;-;47;56;74.9;75.4;-7.0;-19.8;4.5
SIA;201101;-;-;-;62;35;75.0;14.3;-6.8;-21.2;8.0
SIA;201102;-;-;-;61;41;67.9;10.1;-4.6;-21.0;10.1
SIA;201103;-;-;-;49;42;72.7;27.0;-1.6;-14.6;11.0
SIA;201104;-;-;-;0;34;65.3;3.9;4.2;-5.5;17.7
SIA;201105;-;-;-;0;46;70.1;102.3;7.4;-5.5;19.5
SIA;201106;-;-;-;0;68;76.2;136.4;10.0;2.0;22.8
SIA;201107;-;-;-;0;62;72.4;144.6;10.2;0.0;19.2
SIA;201108;-;-;-;0;41;69.7;100.7;12.4;1.0;24.2
SIA;201109;-;-;-;2;35;77.5;141.0;9.9;-1.0;19.0
SIA;201110;-;-;-;1;31;69.5;94.4;3.8;-7.3;20.0
SIA;201111;-;-;-;0;26;70.3;41.4;0.8;-7.3;12.0
SIA;201112;-;-;-;18;53;76.9;42.0;-3.8;-16.3;6.6
SIA;201201;-;-;-;64;45;72.3;44.0;-5.4;-17.0;4.9
SIA;201202;-;-;-;58;36;61.6;2.7;-8.3;-25.1;11.0
SIA;201203;-;-;-;31;30;63.4;52.6;0.5;-15.2;13.0
SIA;201204;-;-;-;14;66;78.1;91.6;0.6;-12.7;15.2
SIA;201205;-;-;-;0;57;69.3;65.5;6.7;-4.0;19.0
SIA;201206;-;-;-;0;56;77.5;142.3;10.8;0.0;22.9
SIA;201207;-;-;-;0;55;75.1;106.5;12.1;1.5;22.3
SIA;201208;-;-;-;0;42;74.6;140.8;12.9;2.2;25.3
SIA;201209;-;-;-;0;53;76.3;88.6;8.5;-1.2;19.0
SIA;201210;-;-;-;2;49;79.6;45.9;3.8;-11.5;20.0
SIA;201211;-;-;-;2;48;78.7;140.2;-0.4;-10.0;10.7
SIA;201212;-;-;-;29;47;76.6;29.5;-6.2;-19.1;7.0
SIA;201301;-;-;-;46;44;66.9;35.0;-5.8;-22.0;8.6
SIA;201302;-;-;-;54;48;67.0;15.2;-8.9;-26.0;4.6
SIA;201303;-;-;-;49;56;73.2;38.0;-4.0;-17.7;8.0
SIA;201304;-;-;-;19;56;76.5;94.9;1.7;-15.6;14.2
SIA;201305;-;-;-;0;80;76.4;135.0;4.1;-5.5;12.4
SIA;201306;-;-;-;0;53;71.3;47.5;9.1;-1.5;22.6
SIA;201307;-;-;-;0;38;71.1;27.8;12.9;0.5;23.0
SIA;201308;-;-;-;0;43;73.6;104.6;11.7;1.6;24.6
SIA;201309;-;-;-;0;41;70.9;50.5;8.8;-1.5;21.2
SIA;201310;-;-;-;6;71;79.4;121.7;4.8;-5.0;14.6
SIA;201311;-;-;-;6;53;72.3;44.0;-1.4;-16.0;10.4
SIA;201312;-;-;-;18;31;71.3;59.3;-3.9;-19.0;7.3
SIA;201401;-;-;-;101;52;79.2;126.0;-5.7;-24.0;4.0
SIA;201402;-;-;-;154;60;77.7;96.5;-4.8;-22.0;2.4
SIA;201403;-;-;-;126;35;70.0;49.0;-1.8;-17.3;11.1
SIA;201404;229;815.6;9915;38;55;71.5;39.6;2.1;-7.6;11.3
SIA;201405;251;818.0;10322;0;61;70.1;66.9;5.2;-5.4;15.9
SIA;201406;275;821.3;12307;0;56;73.5;114.3;9.7;-1.7;22.0
SIA;201407;215;820.1;8311;0;-;80.3;131.6;10.6;1.7;21.7
SIA;201408;193;820.0;8441;0;-;82.2;158.1;9.7;-1.0;18.8
SIA;201409;174;821.8;9300;0;-;79.7;50.7;8.1;-2.1;17.0
SIA;201410;112;821.5;7609;0;-;80.3;109.4;5.3;-5.3;15.3
SIA;201411;65;815.6;4445;11;-;88.6;241.1;1.1;-7.7;11.7
SIA;201412;55;817.5;3779;2;-;71.2;29.4;-2.8;-16.9;5.1
SIA;201501;74;815.7;5923;29;-;66.1;80.8;-5.0;-20.7;10.0
SIA;201502;118;812.8;6800;45;-;65.1;30.1;-7.2;-20.7;5.8
SIA;201503;177;818.0;9078;35;-;67.9;24.9;-1.6;-13.2;10.1
SIA;201504;251;820.0;12592;0;-;60.9;21.4;2.0;-11.2;14.4
SIA;201505;245;819.3;10320;1;-;73.6;150.5;6.6;-5.5;18.9
SIA;201506;273;823.3;12236;0;-;72.5;85.9;10.6;-0.8;21.9
SIA;201507;306;823.7;17374;0;-;70.3;98.6;14.8;2.4;25.7
SIA;201508;224;823.2;12095;0;-;79.7;103.9;12.4;1.9;23.4
SIA;201509;160;820.3;8701;0;-;79.4;186.9;6.7;-2.0;17.0
SIA;201510;124;819.2;8528;1;-;77.7;91.2;3.4;-5.2;12.9
SIA;201511;89;821.7;9076;0;-;60.0;1.5;1.0;-12.9;16.5
SIA;201512;65;828.3;8509;0;-;64.9;2.3;-1.7;-9.8;8.6
SIA;201601;69;814.2;5390;21;-;76.6;49.6;-6.0;-23.0;7.2
SIA;201602;107;812.4;4954;40;-;77.9;56.2;-3.7;-20.6;10.9
SIA;201603;189;812.4;9991;47;-;68.4;53.6;-3.7;-18.7;6.4
SIA;201604;210;814.3;7809;2;-;74.0;113.6;1.9;-9.4;11.4
SIA;201605;243;816.7;9891;-;-;71.4;130.1;4.9;-3.6;15.8
SIA;201606;255;819.6;9448;-;-;77.5;155.6;9.5;-0.2;22.8
SIA;201607;269;823.9;13577;-;-;73.0;126.2;12.2;0.8;23.9
SIA;201608;247;825.0;13713;-;-;75.2;96.5;11.6;0.7;22.5
SIA;201609;193;823.7;12018;-;-;76.6;19.4;9.4;-0.1;19.8
SIA;201610;118;820.8;8135;0;-;74.0;64.5;2.9;-6.5;15.6
SIA;201611;71;816.4;4834;5;-;78.0;73.8;-1.2;-15.0;12.4
SIA;201612;69;826.6;8984;0;-;59.2;0.5;-2.9;-11.9;8.2
SIA;201701;79;817.0;8021;6;-;67.2;16.2;-9.4;-19.4;3.2
SIA;201702;111;817.2;6391;30;-;74.8;45.8;-4.0;-20.1;7.2
SIA;201703;188;818.2;10561;31;-;67.7;31.6;0.5;-14.0;11.9
SIA;201704;244;818.1;12454;2;-;62.2;55.2;1.9;-13.2;14.7
SIA;201705;274;820.2;12826;2;-;71.0;63.8;6.7;-8.1;19.1
SIA;201706;277;821.8;13636;0;-;73.5;195.7;11.7;-2.4;23.7
SIA;201707;268;822.6;13116;0;-;73.1;94.7;12.1;0.2;23.3
SIA;201708;235;824.4;13556;0;-;75.0;146.2;12.6;-0.1;23.9
SIA;201709;158;819.4;7742;0;-;77.8;120.9;5.8;-4.0;16.4
SIA;201710;134;823.5;10752;0;-;61.9;13.9;4.7;-5.8;17.7
SIA;201711;82;816.0;6166;4;-;71.4;39.4;-2.2;-13.9;11.5
SIA;201712;59;815.0;5343;34;-;73.3;121.2;-6.2;-18.8;2.1
SIA;201801;71;816.0;5135;76;-;79.0;82.0;-4.7;-21.3;5.9
SIA;201802;125;809.4;7447;78;-;71.3;16.5;-9.3;-27.1;7.3
SIA;201803;168;805.3;6962;89;-;76.0;80.8;-3.8;-20.1;4.1
SIA;201804;241;818.1;11379;67;-;76.2;100.2;2.4;-13.0;13.9
SIA;201805;236;818.6;8522;0;-;78.4;83.0;7.4;-1.7;18.5
SIA;201806;293;820.7;14192;0;-;70.0;26.7;11.1;-0.9;23.0
SIA;201807;280;822.1;13927;0;-;70.4;81.6;13.0;2.9;24.0
SIA;201808;229;823.8;12556;0;-;77.0;118.4;12.7;1.1;24.0
SIA;201809;203;824.9;13070;0;-;76.0;37.2;9.7;-2.1;20.6
SIA;201810;119;820.6;9360;5;-;76.2;254.3;5.4;-4.4;16.3
SIA;201811;71;817.9;3931;15;-;82.0;55.2;-0.3;-13.0;8.8
SIA;201812;62;819.3;6328;29;-;71.5;53.6;-4.7;-19.1;6.8
