stn;time;gre000m0;hto000m0;nto000m0;prestam0;sre000m0;tre200mn;tre200mx;ure200m0;rre150m0;tre200m0
OTL;187301;-;-;-;-;-;-;-;-;-;4.3
OTL;187302;-;-;-;-;-;-;-;-;-;4.1
OTL;187303;-;-;-;-;-;-;-;-;-;9.1
OTL;187304;-;-;-;-;-;-;-;-;-;11.4
OTL;187305;-;-;-;-;-;-;-;-;-;15.2
OTL;187306;-;-;-;-;-;-;-;-;-;19.1
OTL;187307;-;-;-;-;-;-;-;-;-;22.5
OTL;187308;-;-;-;-;-;-;-;-;-;21.9
OTL;187309;-;-;-;-;-;-;-;-;-;16.3
OTL;187310;-;-;-;-;-;-;-;-;-;13.3
OTL;187311;-;-;-;-;-;-;-;-;-;7.6
OTL;187312;-;-;-;-;-;-;-;-;-;3.5
OTL;187401;-;-;-;-;-;-;-;-;-;2.6
OTL;187402;-;-;-;-;-;-;-;-;-;3.7
OTL;187403;-;-;-;-;-;-;-;-;-;7.9
OTL;187404;-;-;-;-;-;-;-;-;-;13.1
OTL;187405;-;-;-;-;-;-;-;-;-;13.8
OTL;187406;-;-;-;-;-;-;-;-;-;20.2
OTL;187407;-;-;-;-;-;-;-;-;-;23.3
OTL;187408;-;-;-;-;-;-;-;-;-;20.0
OTL;187409;-;-;-;-;-;-;-;-;-;18.9
OTL;187410;-;-;-;-;-;-;-;-;-;12.8
OTL;187411;-;-;-;-;-;-;-;-;-;5.8
OTL;187412;-;-;-;-;-;-;-;-;-;3.6
OTL;187501;-;-;-;-;-;-;-;-;-;3.8
OTL;187502;-;-;-;-;-;-;-;-;-;2.3
OTL;187503;-;-;-;-;-;-;-;-;-;5.7
OTL;187504;-;-;-;-;-;-;-;-;-;11.2
OTL;187505;-;-;-;-;-;-;-;-;-;18.0
OTL;187506;-;-;-;-;-;-;-;-;-;19.6
OTL;187507;-;-;-;-;-;-;-;-;-;19.8
OTL;187508;-;-;-;-;-;-;-;-;-;21.2
OTL;187509;-;-;-;-;-;-;-;-;-;18.0
OTL;187510;-;-;-;-;-;-;-;-;-;12.4
OTL;187511;-;-;-;-;-;-;-;-;-;6.6
OTL;187512;-;-;-;-;-;-;-;-;-;3.0
