stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;ure200m0;sre000m0;tre200mn;tre200mx
LUG;187009;-;-;44;987.5;60.2;16.5;67.0;-;7.6;26.7
LUG;187010;-;-;46;981.7;26.7;11.0;69.7;-;2.9;23.5
LUG;187011;-;-;76;981.1;233.5;6.6;81.2;-;-0.7;16.2
LUG;187012;-;-;70;975.5;32.2;1.9;78.8;-;-6.2;18.0
LUG;187101;-;-;70;977.5;143.4;0.2;80.6;-;-7.2;9.5
LUG;187102;-;-;23;988.7;0.0;3.0;71.8;-;-5.4;14.7
LUG;187103;-;-;49;985.7;35.4;8.0;66.3;-;-1.3;19.3
LUG;187104;-;-;43;979.9;125.6;12.7;63.8;-;0.4;23.9
LUG;187105;-;-;36;981.1;44.8;15.7;57.6;-;5.6;29.5
LUG;187106;-;-;56;978.7;281.3;16.2;67.6;-;6.0;26.8
LUG;187107;-;-;38;982.7;94.5;22.2;62.2;-;10.8;33.6
LUG;187108;-;-;39;985.2;101.6;21.3;67.2;-;12.1;32.3
LUG;187109;-;-;49;982.4;116.4;19.1;75.2;-;10.7;31.8
LUG;187110;-;-;47;984.3;7.6;10.7;75.3;-;1.8;24.1
LUG;187111;-;-;60;978.5;211.6;5.8;72.8;-;-3.6;15.3
LUG;187112;-;-;20;986.6;10.1;-1.0;67.2;-;-7.7;9.8
LUG;187201;-;-;58;981.5;130.3;1.3;82.1;-;-5.2;10.1
LUG;187202;-;-;51;986.9;62.0;3.4;77.2;-;-2.6;15.1
LUG;187203;-;-;63;980.8;120.4;7.0;71.6;-;-0.6;19.4
LUG;187204;-;-;56;979.3;209.2;12.2;70.7;-;4.0;26.4
LUG;187205;-;-;79;981.3;343.1;13.7;77.4;-;5.8;23.5
LUG;187206;-;-;53;981.5;382.3;18.7;71.6;-;8.6;34.3
LUG;187207;-;-;44;981.9;217.7;21.6;71.3;-;12.0;33.8
LUG;187208;-;-;40;981.7;178.3;19.9;72.8;-;11.1;29.2
LUG;187209;-;-;30;984.0;94.6;18.1;71.7;-;5.4;31.9
LUG;187210;-;-;85;981.1;418.1;12.6;87.3;-;4.8;22.9
LUG;187211;-;-;70;983.4;96.2;6.9;82.5;-;-0.6;18.0
LUG;187212;-;-;62;980.3;273.7;4.6;84.1;-;-2.0;18.2
LUG;187301;-;-;53;984.6;68.2;3.0;84.1;-;-3.3;10.5
LUG;187302;-;-;47;981.8;101.4;3.1;76.6;-;-4.8;13.8
LUG;187303;-;-;62;978.9;104.8;8.6;77.0;-;1.1;18.2
LUG;187304;-;-;51;977.2;115.3;10.9;66.6;-;1.6;22.3
LUG;187305;-;-;40;979.5;81.3;15.2;72.0;-;6.2;25.8
LUG;187306;-;-;48;983.0;112.0;19.1;77.1;-;6.2;29.8
LUG;187307;-;-;33;984.5;275.4;22.8;71.2;-;12.6;33.0
LUG;187308;-;-;45;984.9;186.8;21.9;69.8;-;12.1;34.1
LUG;187309;-;-;37;984.6;218.2;16.2;81.7;-;7.2;26.6
LUG;187310;-;-;63;982.8;352.4;13.3;86.1;-;2.8;24.6
LUG;187311;-;-;53;982.4;180.3;6.9;82.2;-;-1.2;16.8
LUG;187312;-;-;30;991.4;0.5;2.8;72.4;-;-5.6;21.5
LUG;187401;-;-;27;989.9;28.8;1.5;77.6;-;-5.6;17.9
LUG;187402;-;-;44;986.0;37.8;2.7;71.4;-;-6.2;14.2
LUG;187403;-;-;31;988.1;12.3;7.3;65.7;-;-1.6;27.0
LUG;187404;-;-;48;979.0;138.6;12.7;73.8;-;2.4;28.5
LUG;187405;-;-;49;978.2;44.4;13.5;72.5;-;2.4;27.5
LUG;187406;-;-;44;984.2;207.2;20.0;64.9;-;8.5;33.6
LUG;187407;-;-;41;983.5;180.2;23.4;72.6;-;11.5;33.4
LUG;187408;-;-;37;982.4;167.5;20.0;72.3;-;11.0;29.7
LUG;187409;-;-;44;986.9;150.0;18.8;79.4;-;9.8;29.4
LUG;187410;-;-;37;986.6;102.0;12.6;78.9;-;2.6;22.0
LUG;187411;-;-;31;980.8;25.9;5.1;70.7;-;-5.2;18.0
LUG;187412;-;-;60;973.3;131.9;2.8;75.9;-;-4.4;11.4
LUG;187501;-;-;45;988.6;19.4;2.8;82.1;-;-3.3;13.7
LUG;187502;-;-;44;980.1;79.5;1.3;75.0;-;-6.6;13.0
LUG;187503;-;-;38;983.6;6.6;5.1;64.4;-;-1.6;16.6
LUG;187504;-;-;40;982.0;56.1;10.8;64.7;-;1.3;23.1
LUG;187505;-;-;38;983.6;87.6;17.9;70.6;-;7.8;28.8
LUG;187506;-;-;56;982.6;350.9;19.5;77.5;-;9.6;29.8
LUG;187507;-;-;52;981.6;309.6;20.0;81.4;-;11.2;29.5
LUG;187508;-;-;33;984.7;200.3;21.2;82.1;-;12.1;31.4
LUG;187509;-;-;40;986.8;1.3;18.0;75.2;-;7.2;29.7
LUG;187510;-;-;51;978.1;190.3;12.2;76.9;-;2.4;24.4
LUG;187511;-;-;46;978.0;73.6;5.9;74.5;-;-1.4;17.8
LUG;187512;-;-;34;984.5;20.1;1.9;80.3;-;-5.8;13.5
LUG;187601;-;-;35;990.9;90.8;1.5;83.4;-;-4.8;12.4
LUG;187602;-;-;33;981.7;8.5;4.3;71.2;-;-4.8;19.2
LUG;187603;-;-;60;974.5;96.3;7.8;66.5;-;-1.6;19.8
LUG;187604;-;-;68;980.3;501.6;11.5;72.3;-;2.4;23.6
LUG;187605;-;-;61;981.0;168.1;13.1;75.2;-;5.7;26.1
LUG;187606;-;-;49;980.5;283.7;18.9;74.6;-;10.5;30.6
LUG;187607;-;-;25;984.3;92.0;22.3;70.1;-;12.5;32.2
LUG;187608;-;-;40;983.2;174.6;21.2;75.3;-;8.4;31.2
LUG;187609;-;-;40;981.6;61.3;15.9;80.9;-;6.1;26.2
LUG;187610;-;-;34;983.9;88.1;13.9;81.6;-;4.0;24.2
LUG;187611;-;-;46;982.3;61.6;5.4;75.0;-;-4.4;15.2
LUG;187612;-;-;55;977.5;140.9;4.2;84.8;-;-2.7;12.2
LUG;187701;-;-;44;986.3;79.2;4.5;75.7;-;-2.6;12.4
LUG;187702;-;-;24;981.7;17.7;5.3;59.5;-;-3.0;21.6
LUG;187703;-;-;63;976.4;269.0;5.4;73.0;-;-4.4;20.8
LUG;187704;-;-;48;975.2;165.8;11.6;75.8;-;1.5;22.0
LUG;187705;-;-;63;979.3;374.8;13.8;75.7;-;5.6;24.8
LUG;187706;-;-;41;986.0;85.3;21.4;73.5;-;11.2;31.5
LUG;187707;-;-;43;983.7;384.8;20.8;77.5;-;11.6;30.3
LUG;187708;-;-;35;983.3;123.2;22.1;79.5;-;12.2;31.6
LUG;187709;-;-;39;982.8;114.2;16.3;81.2;-;4.4;28.5
LUG;187710;-;-;29;985.9;44.3;9.6;83.0;-;1.0;21.5
LUG;187711;-;-;47;982.2;194.5;7.2;87.4;-;0.1;18.4
LUG;187712;-;-;37;984.2;25.6;3.2;78.9;-;-4.4;12.8
LUG;187801;-;-;35;985.3;10.5;2.5;75.1;-;-7.9;17.4
LUG;187802;-;-;28;991.8;1.1;5.0;76.6;-;-4.0;17.8
LUG;187803;-;-;38;981.1;115.4;7.6;65.7;-;-4.4;23.9
LUG;187804;-;-;61;979.4;75.0;11.8;78.4;-;1.0;22.6
LUG;187805;-;-;67;981.1;136.2;16.6;79.0;-;6.4;26.8
LUG;187806;-;-;63;982.8;27.8;19.1;80.6;-;9.5;27.2
LUG;187807;-;-;35;981.1;37.7;21.7;75.1;-;12.4;31.4
LUG;187808;-;-;52;980.2;391.6;20.5;84.8;-;11.2;28.0
LUG;187809;-;-;41;982.3;248.4;18.2;82.8;-;8.8;28.2
LUG;187810;-;-;57;982.7;330.2;12.6;86.5;-;0.2;24.2
LUG;187811;-;-;70;979.0;214.2;5.6;80.0;-;-1.7;16.4
LUG;187812;-;-;61;977.1;27.3;0.7;83.2;-;-6.8;11.8
LUG;187901;-;-;54;983.9;66.7;1.6;87.5;-;-5.2;10.8
LUG;187902;-;-;56;971.8;101.3;4.8;81.6;-;-1.2;15.6
LUG;187903;-;-;45;982.4;111.5;8.0;75.0;-;-0.4;19.4
LUG;187904;-;-;66;972.4;317.9;9.5;72.1;-;2.3;20.0
LUG;187905;-;-;67;980.0;487.5;12.5;86.6;-;4.5;22.8
LUG;187906;-;-;45;983.0;154.9;19.8;70.7;-;10.4;31.4
LUG;187907;-;-;32;980.9;95.3;19.9;73.1;-;10.1;29.4
LUG;187908;-;-;29;982.3;210.3;22.6;77.5;-;13.0;33.3
LUG;187909;-;-;47;983.8;252.4;17.5;81.7;-;7.4;30.1
LUG;187910;-;-;31;984.9;13.4;12.0;78.8;-;1.2;22.4
LUG;187911;-;-;31;983.6;130.3;4.8;74.5;-;-;-
LUG;187912;-;-;21;991.6;7.6;-2.1;87.9;-;-11.0;6.8
LUG;188001;-;-;23;993.1;0.0;-0.7;84.9;-;-7.6;13.2
LUG;188002;-;-;41;984.7;97.8;3.5;83.5;-;-3.1;13.3
LUG;188003;-;-;32;987.7;2.3;8.7;69.2;-;-1.6;21.2
LUG;188004;-;-;70;979.4;139.6;11.9;78.9;-;3.8;23.6
LUG;188005;-;-;52;979.5;87.8;14.8;73.8;-;4.5;29.6
LUG;188006;-;-;57;981.2;292.8;17.9;77.8;-;9.4;27.6
LUG;188007;-;-;31;983.1;98.5;23.3;67.8;-;12.4;32.4
LUG;188008;-;-;48;980.2;240.8;20.1;76.3;-;11.0;28.2
LUG;188009;-;-;43;984.7;221.0;18.0;80.8;-;8.4;31.6
LUG;188010;-;-;59;981.8;287.5;13.1;84.3;-;1.6;22.2
LUG;188011;-;-;44;986.0;137.7;7.0;87.6;-;0.1;14.0
LUG;188012;-;-;39;984.7;25.1;5.8;80.7;-;-1.0;19.8
LUG;188101;-;-;51;978.6;77.0;0.3;86.2;-;-7.0;10.0
LUG;188102;-;-;49;980.8;20.2;4.1;82.0;-;-3.6;13.4
LUG;188103;-;-;47;981.4;39.9;8.0;73.7;-;-1.4;23.8
LUG;188104;-;-;71;978.1;249.6;11.4;77.7;-;2.2;20.0
LUG;188105;-;-;43;982.8;92.5;15.4;68.3;-;2.8;26.0
LUG;188106;-;-;48;981.2;112.3;18.7;71.1;-;7.0;30.2
LUG;188107;-;-;24;984.3;21.0;24.2;63.7;-;11.8;37.0
LUG;188108;-;-;34;980.8;94.4;22.7;63.3;-;11.2;35.4
LUG;188109;-;-;52;981.6;172.8;16.1;82.0;-;8.8;25.6
LUG;188110;-;-;57;979.0;120.1;9.9;85.5;-;0.3;20.4
LUG;188111;-;-;33;990.2;183.2;7.1;86.6;-;-0.4;23.2
LUG;188112;-;-;46;986.7;95.1;3.3;87.6;-;-4.0;10.6
LUG;188201;-;-;21;996.5;25.9;2.6;85.9;-;-2.4;12.2
LUG;188202;-;-;20;992.6;20.9;4.6;72.1;-;-4.0;17.2
LUG;188203;-;-;31;984.2;96.8;9.7;74.8;-;0.2;23.8
LUG;188204;-;-;53;979.0;156.3;11.3;75.6;-;1.2;24.2
LUG;188205;-;-;48;983.5;103.5;15.7;79.7;-;4.2;29.8
LUG;188206;-;-;44;982.1;140.8;19.2;76.1;-;6.8;29.0
LUG;188207;-;-;40;980.6;148.9;21.3;76.9;-;11.6;32.4
LUG;188208;-;-;32;980.6;107.0;20.8;76.4;-;10.2;31.0
LUG;188209;-;-;68;979.0;591.8;15.1;88.8;-;6.0;27.0
LUG;188210;-;-;65;981.5;458.2;12.2;90.8;-;3.4;21.8
