stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;sre000m0;ure200m0
BER;189308;-;-;32;953.0;23.4;18.6;9.8;28.9;19116;65.9
BER;189309;-;-;62;949.3;105.8;14.1;4.4;23.9;9720;76.9
BER;189310;-;-;59;950.9;58.1;10.0;1.4;19.3;9732;83.8
BER;189311;-;-;84;947.0;74.1;2.8;-3.7;13.0;2418;85.2
BER;189312;-;-;81;953.5;20.0;-0.9;-8.7;7.6;2904;87.6
BER;189401;-;-;76;950.4;28.6;-2.7;-17.0;6.0;2946;85.2
BER;189402;-;-;59;955.2;11.9;1.3;-10.0;11.9;7188;74.2
BER;189403;-;-;47;949.1;35.3;4.8;-1.0;14.5;11826;70.6
BER;189404;-;-;57;946.3;51.8;10.3;3.2;19.1;10728;68.6
BER;189405;-;-;70;946.0;99.1;11.7;3.8;22.1;9300;77.3
BER;189406;-;-;55;951.9;51.2;15.6;6.1;25.5;14328;69.7
BER;189407;-;-;56;951.0;92.2;18.3;11.0;28.3;15288;70.4
BER;189408;-;-;58;952.0;71.1;16.9;9.4;27.6;13062;74.7
BER;189409;-;-;68;951.2;69.3;12.6;5.3;25.9;8484;79.7
BER;189410;-;-;69;948.5;100.9;9.0;0.4;17.0;6762;82.9
BER;189411;-;-;77;952.4;43.8;4.2;-3.3;12.3;3336;87.1
BER;189412;-;-;72;951.7;33.5;-0.8;-9.3;5.9;3258;82.8
BER;189501;-;-;75;938.1;66.4;-5.3;-18.9;4.4;2910;84.1
BER;189502;-;-;63;944.2;30.9;-7.1;-18.1;2.0;5364;78.7
BER;189503;-;-;68;943.5;63.7;1.7;-13.9;13.3;6642;76.5
BER;189504;-;-;52;946.7;57.1;9.6;1.3;20.0;12246;70.5
BER;189505;-;-;58;949.7;47.3;12.6;3.3;22.9;12390;70.4
BER;189506;-;-;62;951.1;66.1;16.4;7.5;26.3;13878;70.5
BER;189507;-;-;48;950.9;122.8;18.2;10.8;28.2;17658;71.6
BER;189508;-;-;42;952.6;110.5;17.3;10.5;27.1;16824;74.6
BER;189509;-;-;24;956.1;15.6;16.8;7.0;27.8;16518;71.6
BER;189510;-;-;62;947.3;95.1;8.0;-1.1;21.1;8148;80.5
BER;189511;-;-;85;951.9;98.7;6.5;-4.0;19.7;3138;89.1
BER;189512;-;-;88;945.8;91.5;1.6;-5.2;11.2;2142;87.0
BER;189601;-;-;72;958.2;9.9;-1.9;-12.5;6.5;3588;86.4
BER;189602;-;-;72;957.9;4.2;-1.2;-7.1;8.6;5454;86.5
BER;189603;-;-;71;947.5;88.3;6.8;-0.3;16.6;6792;76.7
BER;189604;-;-;74;952.0;92.1;6.4;-1.0;17.3;8058;74.3
BER;189605;-;-;60;949.7;34.0;11.0;3.5;22.4;12846;72.0
BER;189606;-;-;69;949.4;148.7;16.1;7.9;24.3;11130;75.8
BER;189607;-;-;59;951.4;115.6;18.2;10.8;27.3;14550;73.2
BER;189608;-;-;70;950.2;120.3;14.6;6.2;23.3;10242;79.3
BER;189609;-;-;66;949.0;178.5;13.3;6.1;22.9;9582;82.7
BER;189610;-;-;76;945.4;151.0;7.4;-1.4;17.1;5502;86.5
BER;189611;-;-;84;949.3;42.3;2.1;-5.1;8.8;3288;86.3
BER;189612;-;-;94;946.6;21.6;0.2;-6.7;5.4;666;89.2
BER;189701;-;-;85;943.6;19.2;-1.6;-10.2;3.9;1967;87.3
BER;189702;-;-;72;955.7;86.0;4.3;-5.9;12.9;4536;84.4
BER;189703;-;-;74;946.4;61.9;7.0;-1.0;20.9;7020;76.2
BER;189704;-;-;75;946.2;78.3;8.3;-0.9;20.2;8178;76.5
BER;189705;-;-;66;946.4;95.4;11.2;1.5;24.1;12120;74.3
BER;189706;-;-;54;951.7;59.5;18.1;6.9;29.0;16242;69.7
BER;189707;-;-;60;950.6;92.9;18.6;10.3;27.2;15360;72.2
BER;189708;-;-;65;950.4;142.1;17.4;10.2;25.9;12744;78.1
BER;189709;-;-;71;951.4;128.3;12.8;3.8;23.0;7854;85.0
BER;189710;-;-;72;954.2;1.8;7.3;-0.7;18.8;7302;83.8
BER;189711;-;-;73;957.1;12.0;3.1;-5.9;14.1;4716;82.8
BER;189712;-;-;82;952.7;36.1;-0.5;-8.1;10.0;3060;85.0
BER;189801;-;-;83;961.0;12.0;-0.4;-9.6;9.5;2898;91.7
BER;189802;-;-;75;949.2;56.1;0.4;-13.5;11.4;5004;82.3
BER;189803;-;-;78;941.8;20.8;3.0;-3.6;16.9;5910;79.3
BER;189804;-;-;71;947.1;109.9;8.2;-1.5;19.0;8424;76.1
BER;189805;-;-;78;945.9;85.9;11.4;-0.2;22.0;8322;73.2
BER;189806;-;-;68;950.0;123.6;14.5;3.1;27.3;11052;75.6
BER;189807;-;-;55;952.5;93.9;16.4;5.5;28.2;16176;71.3
BER;189808;-;-;40;953.3;26.1;18.7;6.3;30.9;18054;68.9
BER;189809;-;-;41;953.6;8.8;15.2;1.9;29.8;14244;73.5
BER;189810;-;-;79;947.4;100.1;10.1;3.1;19.3;6048;86.3
BER;189811;-;-;89;947.2;84.8;4.7;-2.2;13.9;2490;88.6
BER;189812;-;-;76;957.3;28.6;-0.6;-13.5;7.5;3732;85.0
BER;189901;-;-;87;949.0;75.6;1.7;-5.1;11.0;2268;82.5
BER;189902;-;-;43;949.6;27.3;2.1;-10.1;16.0;10350;72.7
BER;189903;-;-;57;950.7;8.4;4.1;-9.9;18.8;10260;65.2
BER;189904;-;-;76;947.1;121.6;7.4;-3.2;21.2;7680;74.0
BER;189905;-;-;65;949.6;66.4;11.6;0.1;24.2;13134;65.9
BER;189906;-;-;55;949.6;71.8;15.8;5.2;26.3;15726;63.0
BER;189907;-;-;56;953.2;48.9;17.7;7.1;30.5;16050;67.0
BER;189908;-;-;38;952.9;40.0;18.5;6.9;29.5;18438;63.1
BER;189909;-;-;69;949.3;102.2;13.4;2.7;29.0;9228;77.6
BER;189910;-;-;65;953.6;88.2;8.6;-1.1;20.3;8964;84.6
BER;189911;-;-;65;958.1;22.9;3.2;-5.6;19.7;7152;84.4
BER;189912;-;-;85;946.7;46.9;-3.1;-15.6;10.6;2922;83.5
BER;190001;-;-;87;948.0;108.4;0.5;-9.0;11.8;2682;85.7
BER;190002;-;-;83;940.1;79.7;2.3;-7.6;16.0;3540;82.1
BER;190003;-;-;68;945.7;47.4;0.2;-13.2;12.3;7176;75.7
BER;190004;-;-;65;949.0;42.2;7.2;-5.2;21.8;10272;68.7
BER;190005;-;-;70;946.9;83.0;11.2;0.8;22.8;11400;69.8
BER;190006;-;-;58;949.7;73.2;16.8;6.9;26.7;15756;63.4
BER;190007;-;-;52;952.1;90.5;19.2;6.6;32.0;16283;64.3
BER;190008;-;-;57;950.6;137.7;16.0;6.0;27.0;14460;67.2
BER;190009;-;-;60;954.7;36.4;15.2;6.1;25.2;11784;79.5
BER;190010;-;-;62;952.6;55.2;8.7;-1.5;22.6;9306;82.6
BER;190011;-;-;89;944.0;51.2;4.1;-2.6;12.9;2406;92.6
BER;190012;-;-;86;953.7;64.1;1.1;-6.3;16.7;2682;93.6
BER;190101;-;-;74;953.1;26.7;-2.5;-14.5;8.7;4506;87.2
BER;190102;-;-;65;948.1;19.6;-5.2;-19.6;10.4;6378;79.8
BER;190103;-;-;81;941.4;76.3;1.8;-11.6;14.8;5052;79.3
BER;190104;-;-;69;948.2;184.5;8.4;-2.6;19.2;9408;75.7
BER;190105;-;-;52;949.1;17.0;13.0;0.8;28.5;16536;64.9
BER;190106;-;-;63;951.4;172.6;16.2;3.2;30.2;14298;73.1
BER;190107;-;-;56;950.2;125.6;18.0;8.4;27.7;16163;71.3
BER;190108;-;-;52;952.3;82.9;16.2;6.4;27.2;13698;81.1
BER;190109;-;-;72;947.7;138.9;13.8;4.4;25.0;8466;88.6
BER;190110;-;-;81;947.9;58.1;8.0;-0.2;19.3;4818;88.9
BER;190111;-;-;81;953.6;47.9;0.4;-6.0;13.2;3918;85.8
BER;190112;-;-;80;943.1;66.1;-0.5;-8.9;10.2;2868;90.2
BER;190201;-;-;66;955.8;45.4;-0.2;-7.9;8.9;5136;87.2
BER;190202;-;-;85;943.1;92.4;-0.9;-10.1;8.6;3072;89.9
BER;190203;-;-;64;947.2;108.0;4.1;-4.2;17.6;8141;79.5
BER;190204;-;-;70;946.2;84.2;10.2;-1.6;20.6;9546;74.7
BER;190205;-;-;78;948.2;131.0;8.3;-1.2;25.1;6540;74.3
BER;190206;-;-;63;948.4;49.7;14.9;5.0;28.5;13200;68.4
BER;190207;-;-;49;952.0;91.7;18.3;6.5;31.6;17772;67.0
BER;190208;-;-;64;950.5;154.5;16.2;7.9;28.5;12624;80.7
BER;190209;-;-;63;951.9;102.7;13.1;3.4;25.7;9264;86.3
BER;190210;-;-;86;949.9;93.3;7.6;-0.2;17.5;4158;89.8
BER;190211;-;-;87;948.0;35.7;1.7;-8.0;12.4;3246;90.7
BER;190212;-;-;85;952.4;56.1;-1.3;-12.6;11.1;2328;89.5
BER;190301;-;-;74;954.0;37.3;-1.9;-11.6;12.0;4200;87.1
BER;190302;-;-;49;959.5;52.0;1.0;-11.4;14.5;6990;80.1
BER;190303;-;-;55;951.5;50.0;5.1;-4.0;20.6;9894;76.2
BER;190304;-;-;76;944.8;51.2;4.6;-3.7;16.8;5520;77.6
BER;190305;-;-;53;947.0;76.4;12.6;1.8;26.0;15533;71.1
BER;190306;-;-;67;947.7;93.8;14.2;5.6;29.4;9294;78.1
BER;190307;-;-;62;950.6;182.7;16.1;7.4;28.3;13128;77.1
BER;190308;-;-;47;951.7;117.6;16.6;7.0;28.6;15713;76.9
BER;190309;-;-;53;952.7;49.0;13.8;3.5;28.2;11346;81.3
BER;190310;-;-;68;947.9;122.0;9.1;-2.0;22.9;7680;84.8
BER;190311;-;-;87;950.9;96.3;3.4;-2.5;10.5;1902;89.8
BER;190312;-;-;91;943.3;49.9;-2.3;-8.5;4.0;1134;93.0
BER;190401;-;-;84;951.7;22.8;-2.9;-12.8;11.0;1944;91.2
BER;190402;-;-;82;941.0;143.6;1.2;-8.6;10.5;4410;83.0
BER;190403;-;-;76;945.6;41.3;3.6;-6.2;15.0;5634;83.2
BER;190404;-;-;73;949.1;78.9;9.7;-1.1;25.9;8046;78.1
BER;190405;-;-;61;951.2;131.1;13.6;1.9;27.7;13710;75.9
BER;190406;-;-;56;950.9;121.0;16.8;5.6;28.6;13752;76.0
BER;190407;-;-;39;952.5;38.6;20.4;10.0;33.0;19086;68.2
BER;190408;-;-;48;952.3;90.7;18.2;5.5;31.2;16266;71.9
BER;190409;-;-;68;951.0;90.8;11.9;0.1;22.7;8340;86.4
BER;190410;-;-;71;952.2;27.2;8.4;-0.2;18.9;6672;90.9
BER;190411;-;-;63;951.8;31.0;1.9;-10.3;13.9;5766;88.0
BER;190412;-;-;85;950.6;64.7;0.1;-10.1;11.7;2424;93.1
BER;190501;-;-;63;957.9;37.8;-3.8;-18.3;7.5;5814;87.5
BER;190502;-;-;62;954.6;15.7;-0.1;-9.5;8.1;7386;85.5
BER;190503;-;-;74;946.4;124.7;4.5;-3.5;20.7;6408;84.2
BER;190504;-;-;70;945.2;149.8;8.3;-4.1;20.6;8928;79.0
BER;190505;-;-;67;949.0;109.4;10.8;1.4;26.2;10842;81.6
BER;190506;-;-;62;948.3;113.9;16.4;6.4;29.7;13680;79.5
BER;190507;-;-;41;952.1;76.6;20.1;8.3;32.7;19686;73.7
BER;190508;-;-;59;950.3;255.6;16.8;7.1;29.7;12882;83.9
BER;190509;-;-;74;949.8;135.8;13.5;5.1;25.8;7572;88.9
BER;190510;-;-;77;949.4;90.0;3.9;-5.5;14.1;6846;82.3
BER;190511;-;-;80;942.8;109.0;2.5;-5.6;15.3;3396;90.1
BER;190512;-;-;86;957.0;42.8;-0.6;-7.3;10.5;2310;92.4
BER;190601;-;-;77;953.6;57.8;-0.5;-14.1;12.5;4350;84.2
BER;190602;-;-;77;944.0;63.2;-1.1;-12.5;11.9;4872;80.3
BER;190603;-;-;57;948.0;53.9;2.8;-7.6;19.3;9720;74.1
BER;190604;-;-;64;949.3;38.6;7.5;-6.3;20.2;10122;74.1
BER;190605;-;-;66;946.4;102.4;12.5;0.2;29.8;12504;76.2
BER;190606;-;-;56;951.5;86.1;15.3;3.4;29.8;16392;71.4
BER;190607;-;-;56;951.4;101.9;18.2;5.6;29.9;14928;77.0
BER;190608;-;-;41;953.2;31.3;18.3;6.6;31.1;17634;68.4
BER;190609;-;-;45;954.1;30.2;13.1;0.1;30.7;14772;76.0
BER;190610;-;-;60;949.3;55.1;10.2;1.6;21.5;9768;85.7
BER;190611;-;-;83;949.8;65.9;4.1;-2.2;12.7;3408;89.2
BER;190612;-;-;82;946.8;89.4;-3.1;-20.5;8.7;2760;90.0
BER;190701;-;-;81;957.7;67.9;-2.4;-20.2;10.1;2778;87.5
BER;190702;-;-;76;948.2;42.1;-3.2;-14.0;8.2;4722;84.2
BER;190703;-;-;50;954.5;47.2;2.6;-7.2;16.7;10572;74.0
BER;190704;-;-;72;941.5;78.7;6.5;-3.3;20.2;8496;81.1
BER;190705;-;-;64;948.0;91.4;12.9;-1.8;27.3;11370;77.0
BER;190706;-;-;67;950.2;170.2;15.3;4.5;27.5;13398;77.7
BER;190707;-;-;54;951.1;96.7;15.7;5.8;28.3;15186;77.9
BER;190708;-;-;43;953.1;74.0;17.7;5.3;29.4;17796;77.8
BER;190709;-;-;54;953.3;68.9;14.0;4.1;25.2;10662;89.4
BER;190710;-;-;69;945.0;75.3;9.2;2.1;19.3;6606;91.2
BER;190711;-;-;79;950.4;21.8;4.0;-3.1;14.1;3456;94.1
BER;190712;-;-;71;946.7;106.8;1.7;-7.2;11.8;4296;92.5
BER;190801;-;-;83;954.6;26.0;-4.1;-13.9;9.5;3228;94.8
BER;190802;-;-;67;952.4;86.0;-0.2;-15.1;8.8;5520;88.2
BER;190803;-;-;74;946.4;45.1;2.4;-8.1;14.1;6144;86.2
BER;190804;-;-;70;944.1;60.7;5.9;-3.0;19.8;9060;81.7
BER;190805;-;-;57;951.8;128.8;14.1;0.0;27.8;14922;76.1
BER;190806;-;-;48;950.6;89.2;17.7;5.5;29.4;16620;73.1
BER;190807;-;-;52;950.8;176.5;17.2;8.3;30.2;15906;80.2
BER;190808;-;-;50;950.7;92.8;15.4;5.4;27.6;16092;82.1
BER;190809;-;-;68;953.3;123.5;12.7;1.8;24.5;9234;86.3
BER;190810;-;-;58;954.4;12.3;7.8;-2.7;22.6;9756;89.9
BER;190811;-;-;85;952.0;52.1;1.5;-5.8;11.5;2946;96.0
BER;190812;-;-;82;948.8;49.2;-1.1;-16.6;7.6;2856;96.1
BER;190901;-;-;73;953.9;24.7;-3.9;-17.2;11.5;3426;93.8
BER;190902;-;-;58;949.3;16.8;-2.9;-13.9;8.8;7116;87.7
BER;190903;-;-;73;937.9;73.4;1.0;-13.9;15.7;6078;87.5
BER;190904;-;-;52;949.8;68.7;9.4;-3.6;23.5;13590;73.2
BER;190905;-;-;49;951.2;44.3;12.2;-1.6;28.0;16602;69.5
BER;190906;-;-;72;948.5;161.8;14.1;4.5;27.5;11892;71.3
BER;190907;-;-;68;950.7;121.7;15.4;6.1;28.1;13122;74.8
BER;190908;-;-;54;951.1;88.9;16.4;5.4;29.2;14088;75.1
BER;190909;-;-;63;949.8;60.2;12.6;3.5;23.9;9984;82.4
BER;190910;-;-;71;950.1;116.6;9.6;-0.7;23.6;7596;83.2
BER;190911;-;-;75;947.5;39.9;1.5;-7.5;13.9;4626;82.2
BER;190912;-;-;85;943.8;156.5;1.4;-8.4;15.4;2808;85.1
BER;191001;-;-;84;948.8;174.4;-0.3;-9.5;10.1;3150;84.0
BER;191002;-;-;71;945.6;55.9;0.6;-10.2;14.5;6204;75.8
BER;191003;-;-;60;951.0;27.3;3.8;-5.5;16.9;8670;75.4
BER;191004;-;-;74;945.4;86.6;7.1;-2.0;21.5;8111;74.8
BER;191005;-;-;72;944.5;100.5;10.9;-0.5;25.8;10320;73.8
BER;191006;-;-;63;947.7;172.1;15.7;7.0;26.5;12954;74.4
BER;191007;-;-;66;948.4;188.6;15.6;7.0;29.5;13914;73.0
BER;191008;-;-;60;950.9;89.1;16.3;7.2;28.8;14448;77.6
BER;191009;-;-;68;953.0;76.5;11.4;2.1;21.2;7974;84.9
BER;191010;-;-;72;951.1;32.0;9.1;0.9;22.6;6780;89.0
BER;191011;-;-;82;942.4;188.9;2.4;-7.3;12.8;3804;84.2
BER;191012;-;-;87;945.6;77.3;1.7;-7.5;8.8;2004;91.1
BER;191101;-;-;68;956.1;15.8;-5.1;-12.4;3.5;4308;87.9
BER;191102;-;-;67;956.4;50.1;0.0;-15.5;11.9;6504;77.2
BER;191103;-;-;68;944.9;68.4;3.7;-7.9;16.5;7062;77.6
BER;191104;-;-;59;948.0;39.7;7.0;-5.0;22.9;11628;70.2
BER;191105;-;-;73;946.7;124.3;12.6;1.6;23.8;11556;73.6
BER;191106;-;-;59;951.5;117.0;15.3;4.5;26.7;13914;69.7
BER;191107;-;-;33;954.1;1.2;20.8;8.9;33.8;22170;56.4
BER;191108;-;-;34;951.1;45.3;20.7;8.9;32.0;19410;58.0
BER;191109;-;-;51;952.7;71.1;15.6;3.4;30.4;11994;72.4
BER;191110;-;-;76;949.6;65.6;8.5;-1.4;18.0;6816;85.2
BER;191111;-;-;78;946.6;64.9;4.9;-3.1;17.3;4890;86.4
BER;191112;-;-;81;949.5;104.6;2.1;-4.1;12.2;2388;88.4
BER;191201;-;-;82;948.6;55.4;0.1;-10.4;9.6;2988;89.3
BER;191202;-;-;69;944.8;60.9;3.2;-15.9;16.0;7998;78.3
BER;191203;-;-;68;947.6;81.9;6.2;-3.4;21.5;8502;74.8
BER;191204;-;-;60;949.8;27.6;7.1;-3.6;20.2;10476;64.4
BER;191205;-;-;61;949.7;89.9;13.3;-0.6;30.2;12060;66.7
BER;191206;-;-;65;948.7;128.1;15.7;5.5;28.2;12942;68.6
BER;191207;-;-;55;949.4;135.1;16.6;6.9;28.0;12114;70.7
BER;191208;-;-;72;948.5;213.6;13.5;5.5;25.1;7566;78.6
BER;191209;-;-;68;952.7;28.7;8.6;0.0;19.1;5520;77.9
BER;191210;-;-;78;950.1;163.2;6.8;-0.8;20.2;4908;85.2
BER;191211;-;-;70;949.9;53.5;0.9;-5.9;11.5;4296;83.4
BER;191212;-;-;72;955.6;38.1;0.0;-8.3;11.3;4176;91.2
BER;191301;-;-;87;949.2;66.1;0.9;-5.9;8.4;2370;89.4
BER;191302;-;-;46;954.2;29.6;0.2;-8.9;10.5;8646;77.2
BER;191303;-;-;59;951.5;106.6;5.4;-5.0;19.5;8298;77.7
BER;191304;-;-;67;944.8;78.4;7.7;-7.9;23.5;8208;75.4
BER;191305;-;-;59;947.9;84.7;12.2;0.3;26.5;11724;71.5
BER;191306;-;-;65;953.7;57.1;15.2;5.9;28.4;10764;70.7
BER;191307;-;-;69;949.5;96.1;14.7;6.2;26.7;10560;74.0
BER;191308;-;-;52;950.7;74.7;16.1;6.5;27.5;13512;75.0
BER;191309;-;-;67;949.4;140.1;12.5;3.7;25.3;8010;84.2
BER;191310;-;-;69;949.9;40.2;9.2;0.4;19.5;7086;87.7
BER;191311;-;-;87;952.5;131.0;6.2;-1.0;16.6;1572;89.4
BER;191312;-;-;79;952.5;49.0;0.0;-7.6;9.3;3132;87.3
BER;191401;-;-;80;951.9;47.0;-5.2;-12.3;7.2;2454;88.7
BER;191402;-;-;61;948.9;33.5;0.9;-12.1;13.4;5706;86.6
BER;191403;-;-;79;944.4;156.8;4.7;-3.2;17.9;5370;79.8
BER;191404;-;-;54;952.3;66.4;10.2;-0.2;23.0;12108;68.5
BER;191405;-;-;78;950.6;139.4;10.5;0.2;26.8;6834;80.2
BER;191406;-;-;64;949.4;96.9;14.4;2.7;27.2;12288;75.9
BER;191407;-;-;67;948.7;179.2;15.8;6.9;29.0;11166;77.4
BER;191408;-;-;54;952.1;170.4;16.6;7.3;28.7;13344;80.0
BER;191409;-;-;55;953.1;58.2;13.0;1.0;26.5;9990;80.6
BER;191410;-;-;72;948.5;36.3;7.8;-2.4;19.1;7386;86.0
BER;191411;-;-;75;947.2;60.5;2.3;-9.3;14.2;4680;87.5
BER;191412;-;-;72;946.2;69.1;2.0;-5.2;13.7;3905;85.7
BER;191501;-;-;83;939.3;74.9;-0.4;-14.6;11.5;2526;85.5
BER;191502;-;-;78;943.7;54.5;-0.1;-11.2;10.1;3528;86.0
BER;191503;-;-;77;946.0;95.4;2.6;-6.8;16.9;5346;82.6
BER;191504;-;-;64;948.2;85.1;6.6;-1.9;21.6;9606;79.7
BER;191505;-;-;65;947.5;99.0;14.5;4.8;24.3;11364;76.1
BER;191506;-;-;62;949.7;150.3;17.3;7.9;27.2;13788;74.6
BER;191507;-;-;62;950.7;167.0;16.5;5.6;27.9;13890;75.3
BER;191508;-;-;53;951.3;110.4;15.8;4.8;26.5;15330;77.0
BER;191509;-;-;64;950.4;88.7;11.5;3.0;23.9;8322;85.9
BER;191510;-;-;82;948.7;17.3;6.2;-3.9;16.0;3582;89.6
BER;191511;-;-;72;946.6;106.4;0.9;-12.8;11.1;4266;88.4
BER;191512;-;-;78;945.7;106.5;3.9;-9.7;19.1;2400;88.8
BER;191601;-;-;65;959.1;33.2;2.1;-9.1;13.0;5718;86.5
BER;191602;-;-;80;945.2;102.1;1.2;-6.9;11.2;4212;84.8
BER;191603;-;-;78;938.0;84.9;3.9;-8.0;15.7;4704;83.7
BER;191604;-;-;67;945.5;95.8;8.0;-2.3;20.0;9660;78.9
BER;191605;-;-;64;948.5;71.6;13.2;3.0;25.5;11172;74.5
BER;191606;-;-;68;948.5;189.0;13.2;3.1;26.3;9930;75.4
BER;191607;-;-;68;950.5;175.1;16.2;6.5;25.8;11712;80.9
BER;191608;-;-;53;950.0;126.0;16.4;6.0;27.9;14364;78.7
BER;191609;-;-;68;949.2;58.6;11.3;2.1;22.0;8352;86.6
BER;191610;-;-;68;952.1;87.9;8.3;-2.5;22.3;7901;87.3
BER;191611;-;-;78;946.7;99.7;3.2;-5.6;16.5;3558;89.9
BER;191612;-;-;89;940.7;148.8;0.7;-9.9;10.5;1374;91.7
BER;191701;-;-;87;941.5;34.7;-2.8;-12.5;9.0;1962;89.3
BER;191702;-;-;65;949.4;14.5;-2.9;-16.3;9.8;5280;86.5
BER;191703;-;-;79;942.2;124.6;1.3;-7.0;14.5;5052;83.2
BER;191704;-;-;74;946.4;72.7;5.0;-2.3;21.0;8820;75.4
BER;191705;-;-;61;948.4;79.7;15.4;5.1;27.9;12060;75.8
BER;191706;-;-;50;952.4;111.7;17.7;6.6;27.5;16242;75.3
BER;191707;-;-;56;952.3;95.9;17.4;5.5;29.6;14310;77.4
BER;191708;-;-;59;948.7;119.6;16.0;7.9;26.1;13134;83.8
BER;191709;-;-;46;954.3;46.6;15.3;6.1;27.0;13224;86.3
BER;191710;-;-;78;947.6;152.0;6.8;-4.1;21.0;4866;89.2
BER;191711;-;-;73;954.1;74.4;2.9;-5.9;13.5;4668;88.6
BER;191712;-;-;72;950.9;20.5;-5.4;-19.6;6.8;3066;90.9
BER;191801;-;-;62;952.9;45.9;-1.3;-17.0;12.3;5088;87.1
BER;191802;-;-;56;958.1;26.3;0.3;-10.9;13.0;6876;83.7
BER;191803;-;-;56;948.4;55.3;3.5;-6.6;17.4;11268;78.3
BER;191804;-;-;82;942.4;83.1;7.6;-1.1;18.9;4434;83.0
BER;191805;-;-;50;949.3;43.7;14.0;4.1;25.5;15012;70.3
BER;191806;-;-;55;950.8;162.0;13.7;2.5;25.4;14214;70.6
BER;191807;-;-;50;951.0;29.0;17.4;5.9;30.7;16638;72.3
BER;191808;-;-;48;952.4;65.6;16.7;3.5;30.7;15090;76.7
BER;191809;-;-;69;949.0;237.6;13.5;4.0;25.5;8556;86.2
BER;191810;-;-;73;949.8;54.8;6.6;-1.8;18.0;6504;90.0
BER;191811;-;-;78;951.0;29.3;3.0;-5.5;15.4;4164;89.1
BER;191812;-;-;80;949.9;138.7;2.9;-5.7;12.6;3168;88.5
BER;191901;-;-;86;944.5;29.3;-0.3;-7.2;12.3;2424;87.1
BER;191902;-;-;74;942.8;111.4;-1.2;-19.4;11.9;4488;84.0
BER;191903;-;-;76;944.3;102.5;3.7;-5.4;16.8;6420;81.7
BER;191904;-;-;80;946.6;104.1;4.8;-4.0;17.4;5910;79.0
BER;191905;-;-;46;950.5;40.7;12.6;0.2;23.5;16392;65.7
BER;191906;-;-;49;953.5;81.5;16.3;5.3;29.3;16434;65.7
BER;191907;-;-;72;950.3;118.1;14.5;5.0;25.4;11118;77.5
BER;191908;-;-;36;952.7;29.4;18.9;4.9;31.2;18504;65.4
BER;191909;-;-;46;951.4;48.5;15.6;3.0;28.3;13278;77.7
BER;191910;-;-;78;951.1;56.1;5.2;-2.9;18.7;5196;88.1
BER;191911;-;-;86;942.8;127.6;1.6;-8.1;12.6;2850;88.5
BER;191912;-;-;87;948.4;147.3;1.3;-12.4;12.0;2496;91.7
BER;192001;-;-;65;950.8;87.4;2.3;-5.3;13.6;5040;88.8
BER;192002;-;-;41;958.0;9.4;2.4;-6.8;12.9;9474;81.8
BER;192003;-;-;56;949.4;45.0;5.7;-7.8;21.0;9870;79.1
BER;192004;-;-;70;945.6;83.8;8.4;-1.6;20.5;6066;79.2
BER;192005;-;-;58;952.7;93.7;14.9;0.1;28.0;11646;77.2
BER;192006;-;-;60;949.8;88.5;15.5;5.4;26.6;12174;72.2
BER;192007;-;-;47;951.4;93.3;17.4;5.5;29.9;15228;69.3
BER;192008;-;-;46;951.5;92.1;15.2;5.6;27.0;14058;71.4
BER;192009;-;-;63;951.5;121.8;13.4;6.1;22.7;7488;84.6
BER;192010;-;-;74;948.2;8.5;8.2;-3.8;18.4;4068;88.4
BER;192011;-;-;69;953.0;6.5;2.0;-5.7;15.5;3540;89.1
BER;192012;-;-;92;949.1;40.6;-0.3;-11.3;13.5;702;89.4
BER;192101;-;-;71;953.8;31.1;3.2;-4.5;13.5;4788;84.6
BER;192102;-;-;46;953.6;5.5;0.4;-7.1;11.5;8226;82.7
BER;192103;-;-;44;953.3;19.8;5.3;-5.6;18.5;12150;74.6
BER;192104;-;-;62;947.1;58.5;6.9;-3.6;20.8;8664;71.0
BER;192105;-;-;63;947.8;163.0;13.3;-0.6;23.8;10374;74.1
BER;192106;-;-;48;951.0;68.7;16.4;5.8;28.4;16002;63.8
BER;192107;-;-;34;951.9;42.0;19.8;8.4;34.7;19026;62.9
BER;192108;-;-;46;949.3;149.1;17.0;6.4;32.3;13896;70.2
BER;192109;-;-;48;953.5;101.6;14.8;2.3;24.7;12408;80.7
BER;192110;-;-;35;955.9;24.5;10.8;-1.4;22.5;12564;83.0
BER;192111;-;-;87;950.7;40.5;0.2;-6.2;13.4;1997;88.0
BER;192112;-;-;79;952.9;21.1;0.2;-9.7;11.7;2502;87.5
BER;192201;-;-;86;945.0;78.5;-1.0;-10.4;9.2;1680;87.3
BER;192202;-;-;65;950.0;84.9;0.1;-14.0;14.1;5148;84.0
BER;192203;-;-;75;944.4;90.3;4.3;-8.2;16.3;6144;80.2
BER;192204;-;-;78;942.3;182.6;5.9;-1.4;21.5;4920;79.2
BER;192205;-;-;41;953.4;46.5;15.2;1.1;29.3;16656;63.5
BER;192206;-;-;66;949.7;144.2;16.2;6.8;27.8;13098;72.3
BER;192207;-;-;57;951.1;141.5;16.1;4.6;29.4;14316;72.4
BER;192208;-;-;53;950.3;159.1;16.2;6.6;28.3;13332;77.7
BER;192209;-;-;70;949.0;86.1;11.2;2.8;23.5;8021;82.2
BER;192210;-;-;87;946.5;110.9;6.4;0.0;21.6;3504;87.8
