stn;time;gre000m0;hto000m0;nto000m0;ure200m0;prestam0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
ALT;186401;-;-;-;-;971.4;51.3;-3.8;-;-;-
ALT;186402;-;-;-;-;959.9;46.7;0.5;-;-;-
ALT;186403;-;-;-;-;955.4;39.0;6.4;-;-;-
ALT;186404;-;-;-;-;963.8;194.3;8.3;-;-;-
ALT;186405;-;-;-;-;961.4;128.0;13.5;-;-;-
ALT;186406;-;-;-;-;963.9;208.7;15.3;-;-;-
ALT;186407;-;-;-;-;964.4;204.0;17.6;-;-;-
ALT;186408;-;-;-;-;965.6;89.0;16.3;-;-;-
ALT;186409;-;-;-;-;965.9;81.3;13.9;-;-;-
ALT;186410;-;-;-;-;958.5;31.1;9.9;-;-;-
ALT;186411;-;-;-;-;959.2;86.0;5.0;-;-;-
ALT;186412;-;-;-;-;963.7;7.3;-0.7;-;-;-
ALT;186501;-;-;-;-;954.4;66.7;1.7;-;-;-
ALT;186502;-;-;-;-;959.6;31.6;-0.2;-;-;-
ALT;186503;-;-;-;-;955.7;85.5;0.4;-;-;-
ALT;186504;-;-;-;-;966.8;1.3;13.5;-;-;-
ALT;186505;-;-;-;-;964.2;70.3;17.2;-;-;-
ALT;186506;-;-;-;-;966.6;88.9;16.9;-;-;-
ALT;186507;-;-;-;-;964.8;257.2;19.5;-;-;-
ALT;186508;-;-;-;-;963.3;228.2;16.5;-;-;-
ALT;186509;-;-;-;-;971.8;2.0;16.2;-;-;-
ALT;186510;-;-;-;-;958.0;109.5;10.9;-;-;-
ALT;186511;-;-;-;-;964.1;87.9;6.6;-;-;-
ALT;186512;-;-;-;-;974.1;5.9;-0.3;-;-;-
ALT;186601;-;-;-;-;-;78.4;2.8;-;-;-
ALT;186602;-;-;-;-;-;134.5;5.3;-;-;-
ALT;186603;-;-;-;-;-;143.2;6.0;-;-;-
ALT;186604;-;-;-;-;-;121.9;10.8;-;-;-
ALT;186605;-;-;-;-;-;105.2;11.5;-;-;-
ALT;186606;-;-;-;-;-;70.0;18.1;-;-;-
ALT;186607;-;-;-;-;-;149.8;18.1;-;-;-
ALT;186608;-;-;-;-;-;279.3;15.7;-;-;-
ALT;186609;-;-;-;-;-;117.4;15.7;-;-;-
ALT;186610;-;-;-;-;-;4.0;9.7;-;-;-
ALT;186611;-;-;-;-;-;241.7;4.3;-;-;-
ALT;186612;-;-;-;-;-;119.9;2.6;-;-;-
ALT;186701;-;-;-;-;957.5;179.9;0.8;-;-;-
ALT;186702;-;-;-;-;972.2;105.4;6.6;-;-;-
ALT;186703;-;-;-;-;957.0;130.7;6.1;-;-;-
ALT;186704;-;-;-;-;963.6;201.3;9.9;-;-;-
ALT;186705;-;-;-;-;963.4;117.2;14.0;-;-;-
ALT;186706;-;-;-;-;966.8;157.1;16.4;-;-;-
ALT;186707;-;-;-;-;966.2;54.4;17.2;-;-;-
ALT;186708;-;-;-;-;966.6;86.1;18.3;-;-;-
ALT;186709;-;-;-;-;969.1;71.2;15.6;-;-;-
ALT;186710;-;-;-;-;965.7;220.3;8.0;-;-;-
ALT;186711;-;-;-;-;971.5;20.9;3.7;-;-;-
ALT;186712;-;-;-;-;963.1;200.8;-0.7;-;-;-
ALT;186801;-;-;-;-;964.5;74.2;-1.4;-;-;-
ALT;186802;-;-;-;-;973.3;24.9;3.2;-;-;-
ALT;186803;-;-;-;-;965.7;268.9;3.8;-;-;-
ALT;186804;-;-;-;-;964.1;124.6;8.6;-;-;-
ALT;186805;-;-;-;-;966.1;43.5;17.9;-;-;-
ALT;186806;-;-;-;-;968.0;137.5;17.7;-;-;-
ALT;186807;-;-;-;-;965.6;185.1;18.1;-;-;-
ALT;186808;-;-;-;-;966.0;71.9;18.4;-;-;-
ALT;186809;-;-;-;-;963.5;113.7;16.9;-;-;-
ALT;186810;-;-;-;-;965.9;230.2;9.9;-;-;-
ALT;186811;-;-;-;-;965.4;38.6;2.9;-;-;-
ALT;186812;-;-;-;-;962.2;188.2;6.6;-;-;-
ALT;186901;-;-;-;-;971.3;51.1;0.7;-;-;-
