stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx;ure200m0
GRH;188009;-;-;-;-;-;-;-;-;-;-
GRH;188010;-;-;-;-;-;-;-;-;-;-
GRH;188011;-;-;-;-;-;-;-;-;-;-
GRH;188012;-;-;-;-;-;-;-;-;-;-
GRH;188101;-;-;-;-;-;-;-;-;-;-
GRH;188102;-;-;-;-;-;-;-;-;-;-
GRH;188103;-;-;-;-;-;-;-;-;-;-
GRH;188104;-;-;-;-;-;-;-;-;-;-
GRH;188105;-;-;-;-;-;-;-;-;-;-
GRH;188106;-;-;-;-;-;-;-;-;-;-
GRH;188107;-;-;-;-;-;-;-;-;-;-
GRH;188108;-;-;-;-;-;-;-;-;-;-
GRH;188109;-;-;-;-;-;-;-;-;-;-
GRH;188110;-;-;-;-;-;-;-;-;-;-
GRH;188111;-;-;-;-;-;-;-;-;-;-
GRH;188112;-;-;-;-;-;-;-;-;-;-
GRH;188201;-;-;-;-;-;-;-;-;-;-
GRH;188202;-;-;-;-;-;-;-;-;-;-
GRH;188203;-;-;-;-;-;-;-;-;-;-
GRH;188204;-;-;-;-;-;-;-;-;-;-
GRH;188205;-;-;-;-;-;-;-;-;-;-
GRH;188206;-;-;-;-;-;-;-;-;-;-
GRH;188207;-;-;-;-;-;-;-;-;-;-
GRH;188208;-;-;-;-;-;-;-;-;-;-
GRH;188209;-;-;-;-;-;-;-;-;-;-
GRH;188210;-;-;-;-;-;-;-;-;-;-
GRH;188211;-;-;-;-;-;-;-;-;-;-
GRH;188212;-;-;-;-;-;-;-;-;-;-
GRH;188301;-;-;-;-;-;-;-;-;-;-
GRH;188302;-;-;-;-;-;-;-;-;-;-
GRH;188303;-;-;-;-;-;-;-;-;-;-
GRH;188304;-;-;-;-;-;-;-;-;-;-
GRH;188305;-;-;-;-;-;-;-;-;-;-
GRH;188306;-;-;-;-;-;-;-;-;-;-
GRH;188307;-;-;-;-;-;-;-;-;-;-
GRH;188308;-;-;-;-;-;-;-;-;-;-
GRH;188309;-;-;-;-;-;-;-;-;-;-
GRH;188310;-;-;-;-;-;-;-;-;-;-
GRH;188311;-;-;-;-;-;-;-;-;-;-
GRH;188312;-;-;-;-;-;-;-;-;-;-
GRH;188401;-;-;-;-;-;-;-;-;-;-
GRH;188402;-;-;-;-;-;-;-;-;-;-
GRH;188403;-;-;-;-;-;-;-;-;-;-
GRH;188404;-;-;-;-;-;-;-;-;-;-
GRH;188405;-;-;-;-;-;-;-;-;-;-
GRH;188406;-;-;-;-;-;-;-;-;-;-
GRH;188407;-;-;-;-;-;-;-;-;-;-
GRH;188408;-;-;-;-;-;-;-;-;-;-
GRH;188409;-;-;-;-;-;-;-;-;-;-
GRH;188410;-;-;-;-;-;-;-;-;-;-
GRH;188411;-;-;-;-;-;-;-;-;-;-
GRH;188412;-;-;-;-;-;-;-;-;-;-
GRH;188501;-;-;-;-;-;-;-;-;-;-
GRH;188502;-;-;-;-;-;-;-;-;-;-
GRH;188503;-;-;-;-;-;-;-;-;-;-
GRH;188504;-;-;-;-;-;-;-;-;-;-
GRH;188505;-;-;-;-;-;-;-;-;-;-
GRH;188506;-;-;-;-;-;-;-;-;-;-
GRH;188507;-;-;-;-;-;-;-;-;-;-
GRH;188508;-;-;-;-;-;-;-;-;-;-
GRH;188509;-;-;-;-;-;-;-;-;-;-
GRH;188510;-;-;-;-;-;-;-;-;-;-
GRH;188511;-;-;-;-;-;-;-;-;-;-
GRH;188512;-;-;-;-;-;-;-;-;-;-
GRH;188601;-;-;-;-;-;-;-;-;-;-
GRH;188602;-;-;-;-;-;-;-;-;-;-
GRH;188603;-;-;-;-;-;-;-;-;-;-
GRH;188604;-;-;-;-;-;-;-;-;-;-
GRH;188605;-;-;-;-;-;-;-;-;-;-
GRH;188606;-;-;-;-;-;-;-;-;-;-
GRH;188607;-;-;-;-;-;-;-;-;-;-
GRH;188608;-;-;-;-;-;-;-;-;-;-
GRH;188609;-;-;-;-;-;-;-;-;-;-
GRH;188610;-;-;-;-;-;-;-;-;-;-
GRH;188611;-;-;-;-;-;-;-;-;-;-
GRH;188612;-;-;-;-;-;-;-;-;-;-
GRH;188701;-;-;-;-;-;-;-;-;-;-
GRH;188702;-;-;-;-;-;-;-;-;-;-
GRH;188703;-;-;-;-;-;-;-;-;-;-
GRH;188704;-;-;-;-;-;-;-;-;-;-
GRH;188705;-;-;-;-;-;-;-;-;-;-
GRH;188706;-;-;-;-;-;-;-;-;-;-
GRH;188707;-;-;-;-;-;-;-;-;-;-
GRH;188708;-;-;-;-;-;-;-;-;-;-
GRH;188709;-;-;-;-;-;-;-;-;-;-
GRH;188710;-;-;-;-;-;-;-;-;-;-
GRH;188711;-;-;-;-;-;-;-;-;-;-
GRH;188712;-;-;-;-;-;-;-;-;-;-
GRH;188801;-;-;-;-;-;-;-;-;-;-
GRH;188802;-;-;-;-;-;-;-;-;-;-
GRH;188803;-;-;-;-;-;-;-;-;-;-
GRH;188804;-;-;-;-;-;-;-;-;-;-
GRH;188805;-;-;-;-;-;-;-;-;-;-
GRH;188806;-;-;-;-;-;-;-;-;-;-
GRH;188807;-;-;-;-;-;-;-;-;-;-
GRH;188808;-;-;-;-;-;-;-;-;-;-
GRH;188809;-;-;-;-;-;-;-;-;-;-
GRH;188810;-;-;-;-;-;-;-;-;-;-
GRH;188811;-;-;-;-;-;-;-;-;-;-
GRH;188812;-;-;-;-;-;-;-;-;-;-
GRH;188901;-;-;-;-;-;-;-;-;-;-
GRH;188902;-;-;-;-;-;-;-;-;-;-
GRH;188903;-;-;-;-;-;-;-;-;-;-
GRH;188904;-;-;-;-;-;-;-;-;-;-
GRH;188905;-;-;-;-;-;-;-;-;-;-
GRH;188906;-;-;-;-;-;-;-;-;-;-
GRH;188907;-;-;-;-;-;-;-;-;-;-
GRH;188908;-;-;-;-;-;-;-;-;-;-
GRH;188909;-;-;-;-;-;-;-;-;-;-
GRH;188910;-;-;-;-;-;-;-;-;-;-
GRH;188911;-;-;-;-;-;-;-;-;-;-
GRH;188912;-;-;-;-;-;-;-;-;-;-
GRH;189001;-;-;-;-;-;-;-;-;-;-
GRH;189002;-;-;-;-;-;-;-;-;-;-
GRH;189003;-;-;-;-;-;-;-;-;-;-
GRH;189004;-;-;-;-;-;-;-;-;-;-
GRH;189005;-;-;-;-;-;-;-;-;-;-
GRH;189006;-;-;-;-;-;-;-;-;-;-
GRH;189007;-;-;-;-;-;-;-;-;-;-
GRH;189008;-;-;-;-;-;-;-;-;-;-
GRH;189009;-;-;-;-;-;-;-;-;-;-
GRH;189010;-;-;-;-;-;-;-;-;-;-
GRH;189011;-;-;-;-;-;-;-;-;-;-
GRH;189012;-;-;-;-;-;-;-;-;-;-
GRH;189101;-;-;-;-;-;-;-;-;-;-
GRH;189102;-;-;-;-;-;-;-;-;-;-
GRH;189103;-;-;-;-;-;-;-;-;-;-
GRH;189104;-;-;-;-;-;-;-;-;-;-
GRH;189105;-;-;-;-;-;-;-;-;-;-
GRH;189106;-;-;-;-;-;-;-;-;-;-
GRH;189107;-;-;-;-;-;-;-;-;-;-
GRH;189108;-;-;-;-;-;-;-;-;-;-
GRH;189109;-;-;-;-;-;-;-;-;-;-
GRH;189110;-;-;-;-;-;-;-;-;-;-
GRH;189111;-;-;-;-;-;-;-;-;-;-
GRH;189112;-;-;-;-;-;-;-;-;-;-
GRH;189201;-;-;-;-;-;-;-;-;-;-
GRH;189202;-;-;-;-;-;-;-;-;-;-
GRH;189203;-;-;-;-;-;-;-;-;-;-
GRH;189204;-;-;-;-;-;-;-;-;-;-
GRH;189205;-;-;-;-;-;-;-;-;-;-
GRH;189206;-;-;-;-;-;-;-;-;-;-
GRH;189207;-;-;-;-;-;-;-;-;-;-
GRH;189208;-;-;-;-;-;-;-;-;-;-
GRH;189209;-;-;-;-;-;-;-;-;-;-
GRH;189210;-;-;-;-;-;-;-;-;-;-
GRH;189211;-;-;-;-;-;-;-;-;-;-
GRH;189212;-;-;-;-;-;-;-;-;-;-
GRH;189301;-;-;-;-;-;-;-;-;-;-
