stn;time;gre000m0;hto000m0;nto000m0;prestam0;tre200mn;tre200mx;rre150m0;tre200m0;sre000m0;ure200m0
SIO;201210;111;0;54;957.6;-2.2;23.0;39.1;11.5;8900;75.8
SIO;201211;70;0;57;958.1;-2.6;19.2;53.9;6.4;6183;75.7
SIO;201212;39;12;72;960.5;-11.6;9.2;152.2;0.6;2618;84.0
SIO;201301;59;0;60;958.8;-6.8;11.3;21.8;0.9;5202;74.1
SIO;201302;110;1;54;956.9;-9.3;9.7;58.0;0.4;8297;69.6
SIO;201303;141;0;63;950.2;-4.8;18.0;29.5;5.6;8202;65.4
SIO;201304;210;0;67;957.5;-1.8;28.4;45.9;11.2;11527;66.0
SIO;201305;236;0;73;955.6;3.4;25.2;86.0;12.8;10084;66.2
SIO;201306;281;0;54;961.2;6.9;36.2;19.8;18.2;14997;61.8
SIO;201307;286;0;46;962.4;10.2;37.2;51.5;21.9;17580;64.9
SIO;201308;256;0;41;961.5;10.5;35.0;30.8;20.5;17478;64.5
SIO;201309;187;0;55;960.6;6.0;30.0;44.9;16.3;12588;72.0
SIO;201310;111;0;67;961.7;2.3;24.0;66.4;12.7;8088;79.3
SIO;201311;59;0;62;959.5;-7.7;18.4;96.3;3.8;4457;83.6
SIO;201312;50;0;34;967.4;-9.2;13.0;16.8;0.5;5509;78.3
SIO;201401;52;0;63;955.7;-5.7;12.0;42.1;2.6;3708;80.1
SIO;201402;89;0;67;955.6;-2.2;14.2;79.1;4.2;5792;75.9
SIO;201403;185;0;45;960.0;-0.9;22.6;4.8;8.4;14127;58.2
SIO;201404;222;0;60;957.3;2.3;24.7;28.6;12.8;12944;59.5
SIO;201405;257;0;64;959.2;2.7;29.2;34.4;14.5;12732;61.1
SIO;201406;286;0;57;959.8;8.1;36.2;17.3;20.1;15978;56.9
SIO;201407;220;0;71;959.0;9.2;34.0;105.7;19.3;10209;72.1
SIO;201408;231;0;64;959.3;8.2;29.4;87.1;18.4;13006;70.6
SIO;201409;191;0;50;961.3;6.6;28.3;15.0;16.9;13363;71.7
SIO;201410;123;0;50;962.3;1.3;25.8;29.4;13.0;10596;77.0
SIO;201411;66;0;59;956.2;0.0;19.6;45.4;8.1;5347;78.9
SIO;201412;43;4;63;964.3;-11.6;11.5;40.8;2.7;3491;80.7
SIO;201501;53;3;60;962.9;-9.0;14.5;55.5;1.4;3942;78.5
SIO;201502;103;2;59;958.9;-6.4;12.0;10.3;1.3;7221;71.6
SIO;201503;157;0;56;962.7;-3.0;19.0;63.1;7.9;11048;59.9
SIO;201504;232;0;50;962.8;-1.3;25.8;20.4;12.2;13741;54.8
SIO;201505;252;0;63;960.2;3.8;30.7;114.5;15.6;14181;62.0
SIO;201506;295;0;56;961.9;9.4;33.2;34.6;20.6;16414;58.0
SIO;201507;296;0;40;960.5;11.3;37.8;40.0;24.0;19170;53.3
SIO;201508;226;0;50;960.6;10.8;37.2;73.1;20.9;14274;66.3
SIO;201509;182;0;50;960.6;3.7;26.5;13.3;14.9;12118;66.9
SIO;201510;119;0;56;960.9;1.1;21.5;29.3;10.5;9784;75.2
SIO;201511;72;0;40;966.5;-5.5;19.3;42.1;5.9;7263;75.8
SIO;201512;50;0;28;973.5;-5.6;11.9;3.9;2.2;5799;78.6
SIO;201601;49;1;70;960.6;-6.4;14.5;127.3;2.3;3733;78.3
SIO;201602;80;1;74;957.7;-3.8;15.0;87.3;4.4;4764;76.6
SIO;201603;171;0;48;956.8;-2.9;21.0;18.1;6.6;12156;59.3
SIO;201604;206;0;72;956.1;0.0;22.8;39.4;11.3;10041;59.9
SIO;201605;256;0;68;957.4;2.9;28.7;75.1;14.7;13047;59.5
SIO;201606;269;0;68;959.1;9.3;34.5;44.4;18.7;12589;64.8
SIO;201607;288;0;47;962.2;8.0;34.8;46.6;21.5;17476;61.4
SIO;201608;254;0;42;963.6;9.4;33.6;26.6;21.0;17355;61.6
SIO;201609;183;0;46;962.8;8.6;31.6;14.2;18.4;12946;65.4
SIO;201610;115;0;50;963.3;0.6;22.0;32.3;10.1;9845;73.3
SIO;201611;61;0;65;960.1;-3.2;17.5;75.2;5.9;4527;77.2
SIO;201612;54;0;19;973.1;-7.6;10.5;0.0;-0.7;6680;77.5
SIO;201701;56;1;49;965.4;-12.1;12.5;31.5;-2.3;4867;77.5
SIO;201702;106;0;49;961.8;-2.7;21.4;39.3;5.3;8362;68.8
SIO;201703;159;0;57;961.5;-1.4;23.4;61.6;9.7;11019;64.4
SIO;201704;244;0;40;961.5;-1.7;26.2;20.8;11.6;15600;53.2
SIO;201705;263;0;55;960.5;2.7;31.9;43.9;16.4;14973;59.2
SIO;201706;289;0;48;959.6;7.5;36.0;67.8;21.7;16632;59.1
SIO;201707;278;0;57;960.6;12.9;34.8;50.6;22.1;15862;57.3
SIO;201708;229;0;51;962.1;10.4;36.9;69.6;21.3;15098;63.0
SIO;201709;179;0;62;960.7;3.9;27.6;10.8;14.8;11787;63.8
SIO;201710;126;0;42;966.3;1.0;24.2;12.2;11.8;11332;66.7
SIO;201711;65;0;61;961.7;-4.4;17.9;43.3;4.2;5029;74.5
SIO;201712;43;13;62;962.6;-10.7;7.0;113.9;-0.6;3278;81.8
SIO;201801;52;2;64;961.3;-4.6;12.9;197.0;3.9;4220;78.1
SIO;201802;98;1;66;956.4;-9.6;11.0;29.9;0.8;7085;66.1
SIO;201803;143;0;-;948.5;-3.4;17.6;30.8;6.0;7892;65.0
SIO;201804;238;0;-;957.8;0.6;28.9;29.3;14.3;14879;50.3
SIO;201805;253;0;-;958.2;7.0;29.6;36.8;16.8;12732;63.9
SIO;201806;309;0;-;959.1;10.6;33.1;25.8;21.1;17546;57.2
SIO;201807;302;0;-;959.5;13.0;35.9;25.0;23.3;19101;53.9
SIO;201808;246;0;-;961.5;8.3;36.2;82.3;21.8;16345;60.9
SIO;201809;204;0;-;964.2;7.0;30.8;20.4;18.7;15113;60.8
SIO;201810;130;0;-;960.9;3.1;25.0;38.1;12.4;12008;68.1
SIO;201811;70;0;-;960.0;-2.4;20.7;7.0;6.8;5995;75.6
SIO;201812;39;1;-;966.4;-6.0;12.2;110.7;2.9;3324;81.7
