stn;time;gre000m0;hto000m0;nto000m0;prestam0;ure200m0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
CHM;187103;-;-;-;-;-;19.2;1.7;-;-;-
CHM;187104;-;-;-;-;-;79.9;5.1;-;-;-
CHM;187105;-;-;-;-;-;24.6;8.4;-;-;-
CHM;187106;-;-;-;-;-;135.6;8.3;-;-;-
CHM;187107;-;-;-;-;-;87.5;14.5;-;-;-
CHM;187108;-;-;-;-;-;29.8;14.5;-;-;-
CHM;187109;-;-;-;-;-;66.2;13.1;-;-;-
CHM;187110;-;-;-;-;-;112.5;4.7;-;-;-
CHM;187111;-;-;-;-;-;21.9;-2.6;-;-;-
CHM;187112;-;-;-;-;-;4.1;-5.2;-;-;-
CHM;187201;-;-;-;-;-;73.5;-1.1;-;-;-
CHM;187202;-;-;-;-;-;58.7;0.5;-;-;-
CHM;187203;-;-;-;-;-;36.4;2.2;-;-;-
CHM;187204;-;-;-;-;-;100.9;5.2;-;-;-
CHM;187205;-;-;-;-;-;176.0;7.3;-;-;-
CHM;187206;-;-;-;-;-;143.4;11.4;-;-;-
CHM;187207;-;-;-;-;-;73.1;15.2;-;-;-
CHM;187208;-;-;-;-;-;121.9;12.2;-;-;-
CHM;187209;-;-;-;-;-;26.4;11.8;-;-;-
CHM;187210;-;-;-;-;-;199.0;6.2;-;-;-
CHM;187211;-;-;-;-;-;67.6;2.9;-;-;-
CHM;187212;-;-;-;-;-;88.0;1.2;-;-;-
CHM;187301;-;-;-;-;-;49.8;-0.2;-;-;-
CHM;187302;-;-;-;-;-;19.2;-2.6;-;-;-
CHM;187303;-;-;-;-;-;71.6;3.1;-;-;-
CHM;187304;-;-;-;-;-;65.5;2.8;-;-;-
CHM;187305;-;-;-;-;-;95.3;6.5;-;-;-
CHM;187306;-;-;-;-;-;70.5;12.1;-;-;-
CHM;187307;-;-;-;-;-;106.3;16.6;-;-;-
CHM;187308;-;-;-;-;-;51.3;15.4;-;-;-
CHM;187309;-;-;-;-;-;97.3;9.8;-;-;-
CHM;187310;-;-;-;-;-;60.7;6.3;-;-;-
CHM;187311;-;-;-;-;-;76.2;1.6;-;-;-
CHM;187312;-;-;-;-;-;5.8;-1.2;-;-;-
CHM;187401;-;-;-;-;-;9.5;-0.8;-;-;-
CHM;187402;-;-;-;-;-;21.9;-2.1;-;-;-
CHM;187403;-;-;-;-;-;14.8;0.4;-;-;-
CHM;187404;-;-;-;-;-;41.1;6.5;-;-;-
CHM;187405;-;-;-;-;-;96.0;5.4;-;-;-
CHM;187406;-;-;-;-;-;141.2;12.9;-;-;-
CHM;187407;-;-;-;-;-;129.5;17.0;-;-;-
CHM;187408;-;-;-;-;-;64.7;12.7;-;-;-
CHM;187409;-;-;-;-;-;39.4;13.2;-;-;-
CHM;187410;-;-;-;-;-;31.9;8.2;-;-;-
CHM;187411;-;-;-;-;-;106.4;0.1;-;-;-
CHM;187412;-;-;-;-;-;88.3;-5.7;-;-;-
