stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;ure200m0;sre000m0;tre200m0;tre200mn;tre200mx
SAE;187210;-;-;-;-;-;-;-;-1.1;-;-
SAE;187211;-;-;-;-;-;-;-;-4.6;-;-
SAE;187212;-;-;-;-;-;-;-;-5.8;-;-
SAE;187301;-;-;-;-;-;-;-;-6.3;-;-
SAE;187302;-;-;-;-;-;-;-;-10.0;-;-
SAE;187303;-;-;-;-;-;-;-;-5.0;-;-
SAE;187304;-;-;-;-;-;-;-;-6.2;-;-
SAE;187305;-;-;-;-;-;-;-;-3.3;-;-
SAE;187306;-;-;-;-;-;-;-;2.3;-;-
SAE;187307;-;-;-;-;-;-;-;7.2;-;-
SAE;187308;-;-;-;-;-;-;-;6.3;-;-
SAE;187309;-;-;-;-;-;-;-;2.0;-;-
SAE;187310;-;-;-;-;-;-;-;-0.9;-;-
SAE;187311;-;-;-;-;-;-;-;-4.1;-;-
SAE;187312;-;-;-;-;-;-;-;-5.4;-;-
SAE;187401;-;-;-;-;-;-;-;-7.6;-;-
SAE;187402;-;-;-;-;-;-;-;-9.6;-;-
SAE;187403;-;-;-;-;-;-;-;-8.8;-;-
SAE;187404;-;-;-;-;-;-;-;-3.2;-;-
SAE;187405;-;-;-;-;-;-;-;-3.9;-;-
SAE;187406;-;-;-;-;-;-;-;3.5;-;-
SAE;187407;-;-;-;-;-;-;-;7.8;-;-
SAE;187408;-;-;-;-;-;-;-;3.6;-;-
SAE;187409;-;-;-;-;-;-;-;4.9;-;-
SAE;187410;-;-;-;-;-;-;-;0.6;-;-
SAE;187411;-;-;-;-;-;-;-;-6.4;-;-
SAE;187412;-;-;-;-;-;-;-;-13.1;-;-
SAE;187501;-;-;-;-;-;-;-;-6.5;-;-
SAE;187502;-;-;-;-;-;-;-;-12.0;-;-
SAE;187503;-;-;-;-;-;-;-;-9.2;-;-
SAE;187504;-;-;-;-;-;-;-;-4.6;-;-
SAE;187505;-;-;-;-;-;-;-;1.7;-;-
SAE;187506;-;-;-;-;-;-;-;3.8;-;-
SAE;187507;-;-;-;-;-;-;-;4.4;-;-
SAE;187508;-;-;-;-;-;-;-;6.7;-;-
SAE;187509;-;-;-;-;-;-;-;4.5;-;-
SAE;187510;-;-;-;-;-;-;-;-2.6;-;-
SAE;187511;-;-;-;-;-;-;-;-8.4;-;-
SAE;187512;-;-;-;-;-;-;-;-10.7;-;-
SAE;187601;-;-;-;-;-;-;-;-7.8;-;-
SAE;187602;-;-;-;-;-;-;-;-9.0;-;-
SAE;187603;-;-;-;-;-;-;-;-8.9;-;-
SAE;187604;-;-;-;-;-;-;-;-5.5;-;-
SAE;187605;-;-;-;-;-;-;-;-3.9;-;-
SAE;187606;-;-;-;-;-;-;-;3.0;-;-
SAE;187607;-;-;-;-;-;-;-;5.9;-;-
SAE;187608;-;-;-;-;-;-;-;6.1;-;-
SAE;187609;-;-;-;-;-;-;-;0.7;-;-
SAE;187610;-;-;-;-;-;-;-;1.1;-;-
SAE;187611;-;-;-;-;-;-;-;-7.1;-;-
SAE;187612;-;-;-;-;-;-;-;-5.2;-;-
SAE;187701;-;-;-;-;-;-;-;-7.2;-;-
SAE;187702;-;-;-;-;-;-;-;-9.4;-;-
SAE;187703;-;-;-;-;-;-;-;-10.0;-;-
SAE;187704;-;-;-;-;-;-;-;-5.3;-;-
SAE;187705;-;-;-;-;-;-;-;-2.8;-;-
SAE;187706;-;-;-;-;-;-;-;5.5;-;-
SAE;187707;-;-;-;-;-;-;-;4.0;-;-
SAE;187708;-;-;-;-;-;-;-;6.0;-;-
SAE;187709;-;-;-;-;-;-;-;0.3;-;-
SAE;187710;-;-;-;-;-;-;-;-3.4;-;-
SAE;187711;-;-;-;-;-;-;-;-3.6;-;-
SAE;187712;-;-;-;-;-;-;-;-9.3;-;-
SAE;187801;-;-;-;-;-;-;-;-10.8;-;-
SAE;187802;-;-;-;-;-;-;-;-6.1;-;-
SAE;187803;-;-;-;-;-;-;-;-9.9;-;-
SAE;187804;-;-;-;-;-;-;-;-4.2;-;-
SAE;187805;-;-;-;-;-;-;-;0.7;-;-
SAE;187806;-;-;-;-;-;-;-;2.2;-;-
SAE;187807;-;-;-;-;-;-;-;4.0;-;-
SAE;187808;-;-;-;-;-;-;-;4.6;-;-
SAE;187809;-;-;-;-;-;-;-;2.7;-;-
SAE;187810;-;-;-;-;-;-;-;-0.6;-;-
SAE;187811;-;-;-;-;-;-;-;-7.9;-;-
SAE;187812;-;-;-;-;-;-;-;-11.8;-;-
SAE;187901;-;-;-;-;-;-;-;-8.8;-;-
SAE;187902;-;-;-;-;-;-;-;-9.1;-;-
SAE;187903;-;-;-;-;-;-;-;-6.7;-;-
SAE;187904;-;-;-;-;-;-;-;-6.8;-;-
SAE;187905;-;-;-;-;-;-;-;-4.8;-;-
SAE;187906;-;-;-;-;-;-;-;2.7;-;-
SAE;187907;-;-;-;-;-;-;-;1.9;-;-
SAE;187908;-;-;-;-;-;-;-;6.8;-;-
SAE;187909;-;-;-;-;-;-;-;2.8;-;-
SAE;187910;-;-;-;-;-;-;-;-1.6;-;-
SAE;187911;-;-;-;-;-;-;-;-9.0;-;-
SAE;187912;-;-;-;-;-;-;-;-10.5;-;-
SAE;188001;-;-;-;-;-;-;-;-9.1;-;-
